fbref_id,fbref_name,fpl_name,fuzzy_score,total_points,review,duplicated,missing_matchlogs
cc2d7ad5,Charlie Taylor,Charlie Taylor,100.0,396.0,,,
9a104dee,Cenk Tosun,Cenk Tosun,100.0,140.0,,,
aa8e289e,Nikola Vlašić,Nikola Vlašić,100.0,48.0,,,
a440d8ca,Molla Wagué,Molla Wagué,100.0,19.0,,,
984a5a64,Kyle Walker-Peters,Kyle Walker-Peters,100.0,304.0,,,
9e525177,Aaron Wan-Bissaka,Aaron Wan-Bissaka,100.0,552.0,,,
b070482d,Nahki Wells,Nahki Wells,100.0,9.0,,,
a32204c9,Dean Whitehead,Dean Whitehead,100.0,4.0,,,
ec9a28ce,Danny Williams,Danny Williams,100.0,34.0,,,
a3b03921,Joe Willock,Joe Willock,100.0,347.0,,,
4e9a0555,Chris Wood,Chris Wood,100.0,769.0,,,
ae0a7ddf,DeAndre Yedlin,DeAndre Yedlin,100.0,190.0,,,
7fe90ccd,Davide Zappacosta,Davide Zappacosta,100.0,67.0,,,
8abd0c03,Marvin Zeegelaar,Marvin Zeegelaar,100.0,28.0,,,
51cf8561,Oleksandr Zinchenko,Oleksandr Zinchenko,100.0,439.0,,,
7a2e46a8,Alisson,Alisson Ramses Becker,90.0,876.0,,,
862a1c15,Miguel Almirón,Miguel Almirón Rejala,90.0,526.0,,,
77128f7e,Luke Amos,Luke Amos,100.0,1.0,,,
9f1893b9,Felipe Anderson,Felipe Anderson Pereira Gomes,100.0,223.0,,,
dc008610,Florin Andone,Florin Andone,100.0,43.0,,,
97333cf5,Stuart Armstrong,Stuart Armstrong,100.0,402.0,,,
28d596a0,Kepa Arrizabalaga,Kepa Arrizabalaga,100.0,395.0,,,
fd5888a0,Floyd Ayité,Floyd Ayité,100.0,24.0,,,
6438d426,Ryan Babel,Ryan Babel,100.0,75.0,,,
aaf1bf05,Juninho Bacuna,Juninho Bacuna,100.0,39.0,,,
9dc69d38,Leandro Bacuna,Leandro Bacuna,100.0,17.0,,,
3626f7d9,Fabián Balbuena,Fabián Balbuena,100.0,140.0,,,
78e68b4d,Leon Balogun,Leon Balogun,100.0,15.0,,,
5534217d,Sol Bamba,Sol Bamba,100.0,95.0,,,
6a189491,Antonio Barreca,Antonio Barreca,100.0,1.0,,,
dc936144,Joe Bennett,Joe Bennett,100.0,77.0,,,
0bad4516,Ryan Bennett,Ryan Bennett,100.0,121.0,,,
ab4b3e35,Bernard,Bernard Anício Caldeira Duarte,90.0,181.0,,,
17370b95,Bernardo,Bernardo Fernandes da Silva Junior,100.0,65.0,,,
0d85a4e8,Marcus Bettinelli,Marcus Bettinelli,100.0,14.0,,,
6c203af0,Yves Bissouma,Yves Bissouma,100.0,294.0,,,
a4ac4b8f,Willy Boly,Willy Boly,100.0,385.0,,,
da23d58d,Léo Bonatini,Léo Bonatini,100.0,10.0,,,
dc4cae05,David Brooks,David Brooks,100.0,172.0,,,
af69e7f0,Joe Bryan,Joe Bryan,100.0,79.0,,,
e608ed4c,David Button,David Button,100.0,17.0,,,
a8748947,Tom Cairney,Tom Cairney,100.0,220.0,,,
91b43c98,Rafael Camacho,Rafael Camacho,100.0,1.0,,,
b2d03887,Víctor Camarasa,Víctor Camarasa,100.0,107.0,,,
e28868f3,Jonny Castro,Jonathan Castro Otto,100.0,326.0,,,
979b811d,Ivan Cavaleiro,Ivan Neves Abreu Cavaleiro,86.0,133.0,1.0,,
2696b6a9,Tahith Chong,Tahith Chong,100.0,79.0,,,
7eb67dad,Cyrus Christie,Cyrus Christie,100.0,42.0,,,
be4fede9,Ibrahima Cissé,Ibrahima Cissé,100.0,4.0,,,
