season,fbref_name,fpl_name,fuzzy_score
2016-2017,,John Obi Mikel,
2016-2017,John O'Shea,John O'Shea,100.0
2016-2017,John Stones,John Stones,100.0
2016-2017,John Terry,John Terry,100.0
2016-2017,Jonas Olsson,Jonas Olsson,100.0
2016-2017,Jonathan Leko,Jonathan Leko,100.0
2016-2017,Jonathan Calleri,Jonathan Walters,81.0
2016-2017,Jonathan Walters,Jonathan Walters,100.0
2016-2017,,Jonathan Williams,
2016-2017,Jonny Evans,Jonny Evans,100.0
2016-2017,Jon Flanagan,Jon Flanagan,100.0
2016-2017,Jordan Henderson,Jordan Henderson,100.0
2016-2017,Jordan Pickford,Jordan Pickford,100.0
2016-2017,Jordan Rhodes,Jordan Rhodes,100.0
2016-2017,Jordi Amat,Jordi Amat,100.0
2016-2017,Jordon Ibe,Jordon Ibe,100.0
2016-2017,Jordon Mutch,Jordon Mutch,100.0
2016-2017,Jordy Clasie,Jordy Clasie,100.0
2016-2017,Angel Gomes,Jose Angel Esmoris Tasende,86.0
2016-2017,Luis Hernández,Jose Luis Mato Sanmartín,86.0
2016-2017,,Joseph Gomez,
2016-2017,José Fonte,Jose Fonte,90.0
2016-2017,Joshua King,Joshua King,100.0
2016-2017,Josh Onomah,Joshua Onomah,92.0
2016-2017,Josh Sims,Josh Clackstone,86.0
2016-2017,Josh Tymon,Josh Clackstone,86.0
2016-2017,,Josh Cullen,
2016-2017,Josh Tymon,Josh Tymon,100.0
2016-2017,José Holebas,José Holebas,100.0
2016-2017,Juan Mata,Juan Carlos Paredes,86.0
2016-2017,Juan Zúñiga,Juan Carlos Paredes,86.0
2016-2017,,Juan Cuadrado,
2016-2017,Juan Mata,Juan Mata,100.0
2016-2017,Juan Zúñiga,Juan Zuñiga,91.0
2016-2017,,Julian Speroni,
2016-2017,,Julien de Sart,
2016-2017,Junior Stanislas,Junior Stanislas,100.0
2016-2017,Jérémy Pied,Jérémy Pied,100.0
2016-2017,,Kane Wilson,
2016-2017,Kasper Schmeichel,Kasper Schmeichel,100.0
2016-2017,Kelechi Iheanacho,Kelechi Iheanacho,100.0
2016-2017,,Keshi Anderson,
2016-2017,Kevin De Bruyne,Kevin De Bruyne,100.0
2016-2017,Kevin Long,Kevin De Bruyne,86.0
2016-2017,Kevin Mirallas,Kevin Mirallas,100.0
2016-2017,Kevin Stewart,Kevin Stewart,100.0
2016-2017,Kevin Wimmer,Kevin Wimmer,100.0
2016-2017,Kieran Gibbs,Kieran Gibbs,100.0
2016-2017,Kieran Trippier,Kieran Trippier,100.0
2016-2017,Kristoffer Nordfeldt,Kristoffer Nordfeldt,100.0
2016-2017,Kurt Zouma,Kurt Zouma,100.0
2016-2017,Kyle Naughton,Kyle Naughton,100.0
2016-2017,Kyle Walker,Kyle Walker,100.0
2016-2017,Lamine Koné,Lamine Koné,100.0
2016-2017,Laurent Koscielny,Laurent Koscielny,100.0
2016-2017,Lazar Marković,Lazar Markovic,93.0
2016-2017,Lee Cattermole,Lee Cattermole,100.0
2016-2017,Leighton Baines,Leighton Baines,100.0
2016-2017,Lucas Leiva,Leiva Lucas,95.0
2016-2017,Leonardo Ulloa,Leonardo Ulloa,100.0
2016-2017,Leon Britton,Leon Britton,100.0
2016-2017,Leroy Fer,Leroy Fer,100.0
2016-2017,Leroy Sané,Leroy Sané,100.0
2016-2017,Lewis Cook,Lewis Cook,100.0
2016-2017,Lewis Grabban,Lewis Grabban,100.0
2016-2017,Loris Karius,Loris Karius,100.0
2016-2017,Loïc Rémy,Loïc Remy,89.0
2016-2017,Luis Hernández,Luis Hernández,100.0
2016-2017,Łukasz Fabiański,Lukasz Fabianski,88.0
2016-2017,Lukas Jutkiewicz,Lukas Jutkiewicz,100.0
2016-2017,Luke Shaw,Luke Shaw,100.0
2016-2017,Lynden Gooch,Lynden Gooch,100.0
2016-2017,Lys Mousset,Lys Mousset,100.0
2016-2017,Maarten Stekelenburg,Maarten Stekelenburg,100.0
2016-2017,,Mamadou Obbi Oularé,
2016-2017,Mamadou Sakho,Mamadou Sakho,100.0
2016-2017,Mame Biram Diouf,Mame Biram Diouf,100.0
2016-2017,,Manuel Agudo Durán,
2016-2017,Manuel Lanzini,Manuel Lanzini,100.0
2016-2017,Marcin Wasilewski,Marcin Wasilewski,100.0
2016-2017,Marcos Rojo,Marcos Rojo,100.0
2016-2017,,Marco Van Ginkel,
2016-2017,Marcus Rashford,Marcus Rashford,100.0
2016-2017,Marc Albrighton,Marc Albrighton,100.0
2016-2017,Marc Pugh,Marc Albrighton,86.0
2016-2017,Marc Muniesa,Marc Muniesa,100.0
2016-2017,Marc Albrighton,Marc Pugh,86.0
2016-2017,Marc Pugh,Marc Pugh,100.0
2016-2017,Marc Wilson,Marc Wilson,100.0
2016-2017,,Mario Balotelli,
2016-2017,,Mario Suárez,
2016-2017,Marko Arnautović,Marko Arnautovic,94.0
2016-2017,Marko Grujić,Marko Grujic,92.0
2016-2017,Mark Noble,Mark Noble,100.0
2016-2017,Marouane Fellaini,Marouane Fellaini,100.0
2016-2017,Marten de Roon,Marten de Roon,100.0
2016-2017,Martin Kelly,Martin Kelly,100.0
2016-2017,,Marvin Emnes,
2016-2017,Mason Holgate,Mason Holgate,100.0
2016-2017,Matěj Vydra,Matej Vydra,91.0
2016-2017,Mathieu Debuchy,Mathieu Debuchy,100.0
2016-2017,Matteo Darmian,Matteo Darmian,100.0
2016-2017,Matthew Lowton,Matthew Lowton,100.0
2016-2017,Matthew Pennington,Matthew Pennington,100.0
2016-2017,,Matt Miazga,
2016-2017,Matt Phillips,Matt Phillips,100.0
2016-2017,Matt Targett,Matt Targett,100.0
2016-2017,Max Gradel,Max Gradel,100.0
2016-2017,Maya Yoshida,Maya Yoshida,100.0
2016-2017,Memphis,Memphis Depay,90.0
2016-2017,Mesut Özil,Mesut Özil,100.0
2016-2017,Michael Carrick,Michael Carrick,100.0
2016-2017,Michael Dawson,Michael Dawson,100.0
2016-2017,Michael Keane,Michael Keane,100.0
2016-2017,Michael Kightly,Michael Kightly,100.0
2016-2017,Michail Antonio,Michail Antonio,100.0
2016-2017,Michel Vorm,Michel Vorm,100.0
2016-2017,Michy Batshuayi,Michy Batshuayi,100.0
2016-2017,Miguel Britos,Miguel Britos,100.0
2016-2017,Mike van der Hoorn,Mike van der Hoorn,100.0
2016-2017,Mile Jedinak,Mile Jedinak,100.0
